"Product_Collection","Vertical_Segment","Processor_Number","Status","Launch_Date","Lithography(nm)","nb_of_Cores","nb_of_Threads","Processor_Base_Frequency(MHz)","Cache_Size(MB)","Type_Of_Cache","TDP(Watts)","Max_Memory_Size(GB)","Max_Memory_Bandwidth(GB/s)","Graphics_Base_Frequency(MHz)","Graphics_Max_Dynamic_Frequency(MHz)","Instruction_Set","Recommended_Customer_Price(USD)"
"Intel® Pentium® Processor 1000 Series","Server","1405","End of Life",2012,32,2,2,1200,5,"SmartCache",40,375,25,350,1050,"64-bit",156
"Intel® Pentium® Processor 1000 Series","Embedded","1405V2","Launched",2014,22,2,2,1400,6,"SmartCache",40,384,38.4,350,1050,"64-bit",156
"Legacy Intel® Pentium® Processor","Desktop","G620","End of Life",2011,32,2,2,2600,3,"SmartCache",65,32,17,850,1100,"64-bit",64
"Legacy Intel® Pentium® Processor","Desktop","540J","End of Interactive Support",2005,90,1,2,3200,1,"L2",84,32,25.6,350,1050,"32-bit",73.5
"Legacy Intel® Pentium® Processor","Desktop","G620T","End of Life",2011,32,2,2,2200,3,"SmartCache",35,32,17,650,1100,"64-bit",73.5
"Legacy Intel® Pentium® Processor","Desktop","672","End of Interactive Support",2005,90,1,2,3800,2,"L2",115,32,25.6,350,1050,"64-bit",75
"Legacy Intel® Pentium® Processor","Desktop","540","End of Interactive Support",2004,90,1,2,3200,1,"L2",84,32,25.6,350,1050,"32-bit",75
"Legacy Intel® Pentium® Processor","Desktop","G840","End of Life",2011,32,2,2,2800,3,"SmartCache",65,32,21,850,1100,"64-bit",75
"Legacy Intel® Pentium® Processor","Desktop","G622","End of Life",2011,32,2,2,2600,3,"SmartCache",65,32,17,850,1100,"64-bit",71
"Legacy Intel® Pentium® Processor","Desktop","670","End of Interactive Support",2005,90,1,2,3800,2,"L2",115,32,25.6,350,1050,"64-bit",71
"Legacy Intel® Pentium® Processor","Desktop","531","End of Interactive Support",2004,90,1,2,3000,1,"L2",84,32,25.6,350,1050,"64-bit",71
"Legacy Intel® Pentium® Processor","Desktop","G850","Launched",2011,32,2,2,2900,3,"SmartCache",65,32,21,850,1100,"64-bit",71
"Legacy Intel® Pentium® Processor","Desktop","G630","End of Life",2011,32,2,2,2700,3,"SmartCache",65,32,17,850,1100,"64-bit",64
"Legacy Intel® Pentium® Processor","Desktop","530J","End of Interactive Support",2004,90,1,2,3000,1,"L2",84,32,25.6,350,1050,"32-bit",75
"Legacy Intel® Pentium® Processor","Desktop","G860","End of Life",2011,32,2,2,3000,3,"SmartCache",65,32,21,850,1100,"64-bit",75
"Legacy Intel® Pentium® Processor","Desktop","G630T","End of Life",2011,32,2,2,2300,3,"SmartCache",35,32,17,650,1100,"64-bit",72
"Legacy Intel® Pentium® Processor","Desktop","E6800","End of Interactive Support",2010,45,2,4,3330,2,"SmartCache",65,32,25.6,350,1050,"64-bit",93
"Legacy Intel® Pentium® Processor","Desktop","960","End of Interactive Support",2006,65,2,4,3600,4,"L2",130,32,25.6,350,1050,"64-bit",316
"Legacy Intel® Pentium® Processor","Desktop","662","End of Interactive Support",2005,90,1,2,3600,2,"L2",115,32,25.6,350,1050,"64-bit",224
"Legacy Intel® Pentium® Processor","Desktop","530","End of Interactive Support",2004,90,1,2,3000,1,"L2",84,32,25.6,350,1050,"32-bit",224
"Legacy Intel® Pentium® Processor","Desktop","519K","End of Interactive Support",2004,90,1,2,3060,1,"L2",84,32,25.6,350,1050,"64-bit",224
"Legacy Intel® Pentium® Processor","Desktop","G860T","End of Life",2012,32,2,2,2600,3,"SmartCache",35,32,21,650,1100,"64-bit",224
"Legacy Intel® Pentium® Processor","Mobile","B940","Launched",2011,32,2,2,2000,2,"L3",35,16,21.3,650,1100,"64-bit",224
"Legacy Intel® Pentium® Processor","Desktop","G632","End of Life",2011,32,2,2,2700,3,"SmartCache",65,32,17,850,1100,"64-bit",224
"Legacy Intel® Pentium® Processor","Desktop","950","End of Interactive Support",2006,65,2,4,3400,4,"L2",130,32,25.6,350,1050,"64-bit",224
"Legacy Intel® Pentium® Processor","Desktop","661","End of Interactive Support",2006,65,1,2,3600,2,"L2",86,32,25.6,350,1050,"64-bit",82
"Legacy Intel® Pentium® Processor","Desktop","524","End of Interactive Support",2006,90,1,2,3060,1,"L2",84,32,25.6,350,1050,"64-bit",82
"Legacy Intel® Pentium® Processor","Mobile","B950","End of Life",2011,32,2,2,2100,2,"L3",35,16,21.3,650,1100,"64-bit",82
"Legacy Intel® Pentium® Processor","Desktop","G870","End of Life",2012,32,2,2,3100,3,"SmartCache",65,32,21,850,1100,"64-bit",82
"Legacy Intel® Pentium® Processor","Desktop","G640","End of Life",2012,32,2,2,2800,3,"SmartCache",65,32,17,850,1100,"64-bit",64
